University,Type ,Index_faculty_number component,Index_salary component,Final_index,Year,Rank,Rank for gender,Rank for salary
Davidson College,private,0.682896163,0.951847387,79.04766527,2016,36,35,42
Lafayette College,private,0.561394519,0.951383808,71.73902349,2016,66,68,43
Whitman College,private,0.656009553,0.951090922,77.40421006,2016,41,43,44
Rhode Island School of Design,private,0.785961901,0.948501265,85.09776466,2016,15,13,45
Occidental College,private,0.793509195,0.947764156,85.52111789,2016,13,11,46
Smith College,private,0.804885591,0.947653616,86.19928007,2016,10,10,47
Claremont McKenna College,private,0.486989037,0.944762661,67.00984867,2016,73,77,48
Colorado College,private,0.644257703,0.944686289,76.44291375,2016,45,47,49
Yale University,private,0.55733517,0.944611332,71.22456352,2016,67,69,50
Pomona College,private,0.741059699,0.944597216,82.24747059,2016,25,20,51
Colby College,private,0.771897063,0.943060271,84.03623462,2016,18,15,52
Rice University,private,0.381576295,0.943010584,60.61500106,2016,87,89,53
Yeshiva University,private,0.629042336,0.941230793,75.39177185,2016,50,52,54
Trinity University,private,0.708800917,0.939938591,80.12559864,2016,32,30,55
Brown University,private,0.433927254,0.939876086,63.63067866,2016,81,83,56
Harvard University,private,0.36151834,0.939553278,59.27323156,2016,93,92,57
Swarthmore College,private,0.769665177,0.939347385,83.753806,2016,19,17,58
Columbia University in The City Of New York,private,0.652792779,0.936903753,76.64371684,2016,43,44,59
Boston University,private,0.622347806,0.936135486,74.7862878,2016,51,53,60
Wheaton College,private,0.547066554,0.936070069,70.26679598,2016,70,70,61
Harvey Mudd College,private,0.470220149,0.935310612,65.62563343,2016,78,79,62
Vanderbilt University,private,0.638505246,0.935230959,75.71955312,2016,48,48,63
Vassar College,private,0.841025999,0.934532341,87.84285359,2016,5,4,64
Johns Hopkins University,private,0.591479025,0.934299503,72.86072158,2016,61,60,65
Villanova University,private,0.665423927,0.933482318,77.26472832,2016,42,39,66
Brandeis University,private,0.610048486,0.932986678,73.92237626,2016,55,55,67
Williams College,private,0.739274336,0.929958963,81.55481871,2016,29,21,68
Cooper Union for the Advancement of Science and Art,private,0.410014514,0.929634267,61.78624152,2016,84,85,69
Babson College,private,0.60134647,0.927479998,73.17998811,2016,60,58,70
Wake Forest University,private,0.580906949,0.926971016,71.93325757,2016,63,65,71
Georgetown University,private,0.659461617,0.925886392,76.60315265,2016,44,42,72
Tulane University of Louisiana,private,0.606174376,0.925000097,73.37046645,2016,58,57,73
University of Rochester,private,0.497558101,0.924525,66.83448603,2016,74,75,74
Oberlin College,private,0.697184267,0.923393611,78.76680043,2016,38,33,75
Santa Clara University,private,0.620709608,0.921953022,74.12069736,2016,53,54,76
University of Notre Dame,private,0.374011694,0.920853172,59.27482847,2016,92,91,77
Boston College,private,0.701254836,0.920686083,78.90273349,2016,37,32,78
Case Western Reserve University,private,0.585323118,0.916632174,71.78467403,2016,64,64,79
Lehigh University,private,0.443029912,0.913920957,63.13863301,2016,83,82,80
Washington University in St Louis,private,0.38327302,0.910557574,59.41868417,2016,91,88,81
California Institute of Technology,private,0.243515979,0.910361131,51.02540396,2016,100,100,82
Princeton University,private,0.387287198,0.909460611,59.61565632,2016,90,87,83
Washington and Lee University,private,0.608440985,0.908556119,72.84870386,2016,62,56,84
University of Dayton,private,0.570172145,0.9083105,70.54274869,2016,69,67,85
University of Southern California,private,0.519653367,0.902068845,67.26195583,2016,72,73,86
University of Richmond,private,0.659850834,0.901492643,75.65075577,2016,49,41,87
Stevens Institute of Technology,private,0.312088967,0.898767265,54.67602859,2016,96,95,88
University of Pennsylvania,private,0.404992961,0.894484443,60.07895536,2016,88,86,89
Duke University,private,0.589045754,0.893968938,71.10150277,2016,68,63,90
New York University,private,0.600399458,0.893782292,71.77525916,2016,65,59,91
Brigham Young University-Provo,private,0.256911086,0.892365001,51.10926523,2016,99,98,92
University of Tulsa,private,0.425482965,0.891050617,61.17100258,2016,85,84,93
Southern Methodist University,private,0.489740929,0.890974275,65.02342676,2016,80,76,94
Emory University,private,0.645953467,0.88181774,74.02991759,2016,54,46,95
Dartmouth College,private,0.515221266,0.880397129,66.12916113,2016,76,74,96
Pepperdine University,private,0.636210648,0.876576729,73.23570807,2016,59,49,97
Northwestern University,private,0.526247586,0.875654429,66.60103233,2016,75,72,98
University of Chicago,private,0.476624395,0.871162095,63.4439475,2016,82,78,99
Carnegie Mellon University,private,0.309605393,0.848791604,52.52798772,2016,98,96,100
University of Wisconsin Colleges,public,0.727744238,0.992335853,83.35808841,2016,5,6,1
California State University-Long Beach,public,0.723779422,0.98205146,82.70882373,2016,7,7,2
The College of New Jersey,public,0.824240775,0.977753694,88.56459427,2016,1,1,3
CUNY Bernard M Baruch College,public,0.651821394,0.973949599,78.06726763,2016,10,18,4
University of California-Irvine,public,0.579594021,0.967476146,73.47468712,2016,40,51,5
Colorado School of Mines,public,0.23567755,0.967390937,52.83629048,2016,97,97,6
SUNY College of Environmental Science and Forestry,public,0.421577244,0.966318082,63.94735793,2016,85,90,7
University of Wisconsin-La Crosse,public,0.809270238,0.965682684,87.18352163,2016,2,2,8
Truman State University,public,0.640034893,0.965109449,77.00647157,2016,14,22,9
Miami University-Middletown,public,0.48976249,0.963401249,67.92179935,2016,72,78,10
University of Oregon,public,0.612170627,0.95966691,75.11691401,2016,24,41,11
University of Alabama at Birmingham,public,0.636686914,0.958655465,76.54743346,2016,18,24,12
University of California-Riverside,public,0.505575834,0.958622866,68.67946467,2016,64,73,13
James Madison University,public,0.76809673,0.955606939,84.31008133,2016,3,4,14
Stony Brook University,public,0.618103283,0.955265677,75.29682404,2016,22,37,15
Temple University,public,0.633132003,0.951708685,76.05626759,2016,19,27,16
California Polytechnic State University-San Luis Obispo,public,0.50999503,0.950748215,68.62963038,2016,66,72,17
North Carolina State University at Raleigh,public,0.452733471,0.948346741,65.09787788,2016,81,86,18
Michigan State University,public,0.613007193,0.947972386,74.69932703,2016,29,40,19
Rutgers University-Newark,public,0.582597901,0.946286216,72.80732273,2016,45,48,20
University of Kentucky,public,0.519617395,0.946160829,69.02347686,2016,62,70,21
University of Delaware,public,0.646146455,0.945515107,76.58939161,2016,17,21,22
Appalachian State University,public,0.754486412,0.945314465,83.08176333,2016,6,5,23
University of Illinois at Chicago,public,0.76819465,0.940904707,83.72786727,2016,4,3,24
University of Arkansas,public,0.462756744,0.939615894,65.35004035,2016,80,83,25
University of Vermont,public,0.625619731,0.939280061,75.10838627,2016,25,31,26
College of William and Mary,public,0.605702495,0.938800466,73.89416836,2016,36,42,27
Virginia Military Institute,public,0.331282513,0.938458878,57.41530591,2016,93,93,28
Rutgers University-New Brunswick,public,0.674441647,0.937720708,77.97532711,2016,11,14,29
SUNY at Binghamton,public,0.573209241,0.935002321,71.7926473,2016,49,53,30
Florida International University,public,0.691825958,0.93459508,78.8933607,2016,9,9,31
University of Massachusetts-Amherst,public,0.636094405,0.934486846,75.54513813,2016,20,25,32
University of California-Davis,public,0.557323688,0.934130655,70.80464745,2016,53,57,33
University of Georgia,public,0.593971924,0.933901222,72.99436432,2016,44,46,34
West Virginia University,public,0.594774556,0.932708723,72.99482228,2016,43,45,35
Pennsylvania State University-Penn State Harrisburg,public,0.58017969,0.931826465,72.08383997,2016,48,50,36
Colorado State University-Fort Collins,public,0.623886434,0.931086492,74.67664573,2016,30,32,37
Oregon State University,public,0.484407051,0.930594539,66.28820459,2016,77,79,38
Kansas State University,public,0.614846324,0.930423988,74.10773896,2016,34,39,39
University of Wyoming,public,0.557337758,0.93013572,70.64569429,2016,54,56,40
South Dakota School of Mines and Technology,public,0.268676311,0.928619212,53.26534709,2016,95,95,41
Ohio University-Main Campus,public,0.577287238,0.928012384,71.75772961,2016,51,52,42
University of Nebraska-Lincoln,public,0.443431137,0.927415451,63.70248625,2016,87,87,43
Michigan Technological University,public,0.347228278,0.92740694,57.92997427,2016,92,92,44
North Dakota State University-Main Campus,public,0.638701185,0.925442815,75.33978374,2016,21,23,45
University of California-Los Angeles,public,0.520921515,0.9251976,68.26319492,2016,69,69,46
University of Florida,public,0.426661474,0.923505763,62.53991899,2016,90,89,47
University of Washington-Seattle Campus,public,0.621811697,0.922537026,74.21018284,2016,33,34,48
University of New Hampshire-Main Campus,public,0.63359945,0.921812869,74.88848177,2016,28,26,49
Iowa State University,public,0.493791348,0.921701773,66.49555177,2016,75,77,50
University of Michigan-Ann Arbor,public,0.542314278,0.920970892,69.37769234,2016,58,64,51
Georgia Institute of Technology-Main Campus,public,0.268490074,0.920527065,52.93048705,2016,96,96,52
Missouri University of Science and Technology,public,0.362872146,0.920387298,58.58782067,2016,91,91,53
Clemson University,public,0.435148283,0.918860189,62.86330451,2016,89,88,54
University of Minnesota-Twin Cities,public,0.619220297,0.917303048,73.84533974,2016,37,36,55
University of South Florida-Main Campus,public,0.705993186,0.917143904,79.04534732,2016,8,8,56
New Mexico Institute of Mining and Technology,public,0.219112903,0.916541413,49.80843071,2016,98,98,57
University of Central Florida,public,0.540641831,0.915013692,69.03905751,2016,61,65,58
University of Connecticut,public,0.615613092,0.914214166,73.50535218,2016,39,38,59
University of Utah,public,0.593027519,0.914148432,72.14758844,2016,47,47,60
